Matricula	Idade	Sexo	Altura	Peso
1	24	M	1.75	109.60
2	25	M	1.85	150.30
3	18	F	1.63	101.40
4	24	M	2.09	117.00
5	18	F	1.92	64.20
6	24	F	1.80	69.40
7	24	F	1.98	151.90
8	22	M	2.05	60.50
9	20	F	2.05	58.80
10	15	F	1.69	129.00
11	16	M	1.62	85.00
12	19	M	1.49	142.20
13	19	F	1.69	80.10
14	15	M	1.81	63.80
15	19	F	1.75	141.90
16	17	F	1.55	120.80
17	22	F	2.10	109.20
18	21	M	1.99	119.50
19	37	M	1.64	42.50
20	33	F	1.83	148.30
21	41	M	2.07	115.10
22	43	F	1.46	70.30
23	25	F	1.74	96.90
24	25	M	1.93	68.90
25	29	F	1.78	124.40
26	41	M	2.10	117.70
27	29	F	1.94	155.10
28	42	F	1.51	128.30
29	55	M	1.58	92.70
30	89	F	1.71	122.80
31	53	M	1.59	129.10
32	51	F	1.83	101.40
33	58	M	2.07	45.50
34	62	F	1.84	47.30
35	47	M	1.78	78.50
36	65	F	2.09	113.40
37	66	F	1.77	106.40
38	90	F	1.98	79.50
39	64	F	1.65	45.10
40	45	M	2.03	66.10
41	68	M	1.54	44.30
42	83	M	1.83	107.60
43	89	F	1.79	75.70
44	89	F	1.92	106.00
45	71	M	2.02	151.30
46	79	F	2.02	57.40
47	82	F	2.01	52.00
48	51	M	1.64	124.80
49	60	F	1.96	152.10
